Date,Close,High,Low,Open,Volume
2013-01-01,176.0185546875,177.2538527951417,175.6835559847556,176.7094886383896,6831351
2013-01-02,177.53652954101562,179.22197766802813,176.4059279241179,176.70952186584722,13441898
2013-01-03,180.21646118164062,180.47816800402134,176.83511120215582,177.67258701010635,17266808
2013-01-04,180.44679260253906,181.02256168197323,178.70901708963473,180.45726087714087,13306377
2013-01-07,179.34759521484375,182.36254214805552,178.34261290377316,181.2528770913181,15307180
2013-01-08,178.10183715820312,179.66166604882167,177.5260680530741,179.03354159201257,13973797
2013-01-09,178.53102111816406,180.02802613639798,177.68307700037624,178.46821147805628,17071824
2013-01-10,177.97622680664062,179.83963576795824,177.33764801898778,179.5883831773337,9239813
2013-01-11,175.85110473632812,178.59386272699206,175.08689269222202,178.48917997474067,8050294
2013-01-14,177.45277404785156,178.59384387964346,175.66264326792674,176.08138820907683,7060887
2013-01-15,177.36904907226562,178.3426266345931,175.4532987737286,177.15966958847704,10387846
2013-01-16,180.34213256835938,182.3416291744552,177.1387423024362,177.1387423024362,19551254
2013-01-17,186.34059143066406,187.08386685019082,180.00710385875098,180.49912672159712,22117537
2013-01-18,188.47625732421875,189.05202658848563,185.42989060280905,187.3875144871199,22754714
2013-01-21,192.61126708984375,199.94973684941422,192.21345869931108,196.41136238351922,43957346
2013-01-22,192.6322021484375,194.86201438718984,191.69002953784735,192.62173387446057,18664413
2013-01-23,193.26031494140625,194.46420839256672,191.8261194599198,193.06141773339743,11701950
2013-01-24,191.69004821777344,194.3700104750256,189.89991728793967,193.66860809755389,13438049
2013-01-25,190.9886474609375,192.06690766854626,189.502110578522,191.83659165717626,14088477
2013-01-28,187.9213409423828,191.18754028961786,187.38744498797908,190.81066844641114,13400981
2013-01-29,184.84359741210938,188.85305847531535,184.26782832118184,187.3874580728022,15439403
2013-01-30,188.30868530273438,189.14617520065696,185.8171661339322,185.8171661339322,17641932
2013-01-31,185.63922119140625,188.0155895439785,184.89594569938055,187.7329321371842,16733589
2013-02-01,187.1781005859375,188.39244846861914,185.00062945044786,186.62326802089024,8152817
2013-02-04,185.6497039794922,188.64371477938084,185.1053396500885,187.60732750067604,13697044
2013-02-05,183.14767456054688,185.48215548862098,182.78127100665333,185.084361090127,9708430
2013-02-06,183.3361358642578,184.8540777397979,182.3206851887333,184.34111826428898,9876509
2013-02-07,182.7603759765625,184.6656581180269,181.8077349058303,182.48818682363768,8542570
2013-02-08,180.802734375,182.9906597502863,179.43134842416256,182.14271550090996,9584217
2013-02-11,181.8181610107422,183.20001505422985,180.185068400984,181.10629045364252,8329895
2013-02-12,183.2942657470703,184.32018471479432,181.1482133306481,181.86007005212224,9728703
2013-02-13,184.03749084472656,185.92182187690224,182.67657345232288,185.08434607693488,10533233
2013-02-14,179.23243713378906,184.96920511001227,178.1751134915381,184.24688021703247,12284945
2013-02-15,177.08636474609375,179.51507414509456,174.63671879952972,178.9916464796806,14390520
2013-02-18,177.44232177734375,178.92885876551443,176.54202216912267,177.54700452798917,5310071
2013-02-19,177.63075256347656,179.0126068152767,174.66814683159527,177.7563858418841,9677020
2013-02-20,183.1581573486328,184.0061015573726,179.34759362937035,179.63025101650658,14873246
2013-02-21,179.89193725585938,183.57688125899654,178.72993096977135,181.94377472290947,16214530
