,Close,High,Open,Low
0,0.8471764317944741,0.8503223745088313,0.8444139034271326,0.8467366934224386
1,0.8494063160043326,0.8544017569899353,0.8469697817093256,0.8476264676175451
2,0.8505339445861508,0.854286493844812,0.8465838393552575,0.8492270784796215
3,0.8460412920994582,0.8508920189518044,0.8477908689328477,0.8473220175613926
4,0.8479865809372015,0.8498185229907604,0.8443578906454925,0.8470862919887
5,0.8496325616656139,0.8527969354200644,0.8448412529735094,0.8484665066733064
6,0.8534901365652702,0.8556619955533042,0.8483893335662938,0.8523081779041172
7,0.851349536409025,0.854954227020976,0.8500534771348883,0.8517095545555948
8,0.8505992956158163,0.8543052332362037,0.8486782316165349,0.850524018477107
9,0.8513047281360121,0.856458089207416,0.8501514238815246,0.8502402124779354
10,0.8509053676291064,0.8554306253539297,0.8491087498654774,0.8497522734310019
11,0.8509611178699436,0.8554046450816508,0.8492745210240269,0.8500948002700024
12,0.8508741589989529,0.8556113676888137,0.8488818378825456,0.849670911664977
13,0.850796308127735,0.8557062042500241,0.8489557376559538,0.8496636964473545
14,0.8516129666448753,0.8559935568948018,0.8492776448973364,0.8500984466562636
15,0.8519415430783036,0.8565129479397458,0.8498068660552951,0.8506116710033143
16,0.8524024754503059,0.8572419247571059,0.8498517146233071,0.8506577076651037
17,0.8525016208863042,0.8571152437713808,0.8503438399313624,0.8511313667003302
18,0.8525135690319434,0.8574032460872926,0.8509099686799834,0.8512971393049437
19,0.8527144994778264,0.857687676513549,0.8507208220498677,0.851114451456543
20,0.8530606703603774,0.8580929710846259,0.851005392575133,0.851312490531126
21,0.8535365907863055,0.8586551792490261,0.8514057479155496,0.8517460242476893
22,0.8537223575087243,0.8588738095562781,0.851793941302116,0.8520019935479327
23,0.8540990839903875,0.8593100135432276,0.8520411703495282,0.8522725880908779
24,0.8545518079451296,0.8598005803012894,0.8524698043997423,0.8526632646177064
25,0.8549316401868927,0.8601394832418923,0.8529094994320975,0.8530537548073908
26,0.8553442084236513,0.8605392142545627,0.8532291700243116,0.853454486987788
27,0.8556859025205836,0.8610203534753136,0.853621110923139,0.8537764861245867
